Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1564570279000,00:16:0a:09:60:8a,-75,Starnet Vlk,14.47261562,48.98729025,10,[WEP][ESS],,12412
1564503804000,00:16:0a:24:8c:80,-84,arsenal,14.43696378,48.98624853,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,62437
1564503990000,00:16:0a:27:95:30,-83,doma Mila,14.43491881,48.98751598,3,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],,62437
1564570272000,00:16:b6:c7:ef:e5,-90,MaV,14.47205983,48.98636784,12,[WPA2-PSK-CCMP][ESS],,112462
1564570286000,00:16:fb:be:89:14,-90,Damaco,14.47326343,48.98816005,11,[WPA2-PSK-CCMP][WPS][ESS],,22417
1564232922000,00:17:3f:0c:1e:10,-79,STARNET_Skrabal,14.31033559,48.80277852,6,[WPA-PSK-TKIP][ESS],,112462
1564570379000,00:18:e7:f9:d7:78,-83,budvar,14.47684075,48.99253502,12,[WPA2-PSK-CCMP][WPS][ESS],,132472
1564502754000,00:19:5b:e6:3f:f6,-87,dlink,14.44266305,48.98243045,3,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],,62437
1564234320000,00:19:cb:22:ec:e1,-83,Vitas,14.3112395,48.80111634,14,[WPA-PSK-TKIP][ESS],,62437
1564503920000,00:19:e0:a0:9c:5a,-85,P O,14.43547078,48.98675475,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,62437
1589042042000,00:19:e0:a5:90:6c,-78,Smajdak net,14.31043786,48.80085312,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,82447
1564502744000,00:19:e0:f8:03:86,-73,TETE,14.44265505,48.98225642,5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,22417
1564503743000,00:19:e0:f8:18:b2,-79,AP-GI,14.43732663,48.98539284,4,[WPA-PSK-CCMP+TKIP][ESS],,12412
1564231743000,00:19:e0:f8:24:ac,-80,STARNET.Nuskova,14.31294353,48.80563804,6,[WEP][ESS],,32422
1564502754000,00:1a:2b:3c:ff:02,-82,MARIE-PC,14.44266305,48.98243045,3,[WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1564232411000,00:1a:8c:a1:b1:22,-74,KAP1,14.31792624,48.80736875,3,[WPA2-PSK-CCMP][ESS],,112462
1564232415000,00:1a:8c:a1:b1:23,-74,KAP1-free,14.31789951,48.80732479,3,[WPA2-PSK-CCMP][ESS],,112462
1564232411000,00:1a:8c:a1:b1:2a,-88,KAP1,14.31792624,48.80736875,3,[WPA2-PSK-CCMP][ESS],,-5180
1564232428000,00:1a:8c:a1:b1:2b,-89,KAP1-free,14.3177583,48.80710674,3,[WPA2-PSK-CCMP][ESS],,-5180
1564232428000,00:1a:8c:ab:19:61,-75,KAP1,14.3177583,48.80710674,3,[WPA2-PSK-CCMP][ESS],,112462
1564232428000,00:1a:8c:ab:19:62,-76,KAP1-free,14.3177583,48.80710674,3,[WPA2-PSK-CCMP][ESS],,112462
1564232424000,00:1a:8c:ab:19:69,-90,KAP1,14.31780073,48.80717313,3,[WPA2-PSK-CCMP][ESS],,-5180
1564232424000,00:1a:8c:ab:19:6a,-90,KAP1-free,14.31780073,48.80717313,3,[WPA2-PSK-CCMP][ESS],,-5180
1564504330000,00:1b:11:e7:29:f7,-88,UMOP,14.42929177,48.987595,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,12412
1588691562000,00:1b:2f:5b:8e:32,-88,Rodina,14.30782357,48.80036854,4,[WEP][ESS],,62437
1564570544000,00:1b:b1:01:41:1c,-88,BEZDREVNETKD,14.47699295,49.00482808,10,[ESS],,-5300
1564502749000,00:1c:f0:83:9d:34,-85,Misa,14.44265921,48.98234284,3,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],,62437
